type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,2,16,1,5,1,0.985,4.0,1.0,0.0,193.0,0.3584938049316406
0,2,17,1,5,1,0.985,5.0,1.0,0.0,192.0,0.35552477836608887
0,2,18,1,5,1,0.985,10.0,1.0,0.0,187.0,0.34612083435058594
0,2,19,1,5,1,0.985,2.0,1.0,0.0,195.0,0.3990151882171631
0,2,20,1,5,1,0.985,14.0,1.0,0.0,183.0,0.3682525157928467
0,2,21,1,5,1,0.985,6.0,1.0,0.0,191.0,0.3542797565460205
0,2,22,1,5,1,0.985,7.0,1.0,0.0,190.0,0.3670225143432617
0,2,23,1,5,1,0.985,7.0,1.0,0.0,190.0,0.3957555294036865
0,2,24,1,5,1,0.985,6.0,0.0,1.0,191.0,0.352938175201416
0,3,0,1,6,1,0.985,86.0,1.0,0.0,111.0,0.34853577613830566
0,3,1,1,6,1,0.98,105.0,1.0,1.0,91.0,0.3500831127166748
0,3,2,1,6,1,0.975,94.0,2.0,1.0,101.0,0.3557252883911133
0,3,3,1,6,1,0.99,101.0,0.0,0.0,97.0,0.3582329750061035
0,3,4,1,6,1,0.975,88.0,2.0,1.0,107.0,0.34241485595703125
0,3,5,1,6,1,0.985,100.0,1.0,0.0,97.0,0.3524153232574463
0,3,6,1,6,1,0.985,98.0,0.0,1.0,99.0,0.3508429527282715
0,3,7,1,6,1,0.99,100.0,0.0,0.0,98.0,0.34894585609436035
0,3,8,1,6,1,0.985,100.0,1.0,0.0,97.0,0.35672569274902344
0,3,9,1,6,1,0.98,95.0,1.0,1.0,101.0,0.3470487594604492
0,3,10,1,6,1,0.985,91.0,0.0,1.0,106.0,0.3467578887939453
0,3,11,1,6,1,0.98,95.0,2.0,0.0,101.0,0.35022830963134766
0,3,12,1,6,1,0.98,88.0,2.0,0.0,108.0,0.35206031799316406
0,3,13,1,6,1,0.98,99.0,1.0,1.0,97.0,0.3339996337890625
0,3,14,1,6,1,0.985,104.0,0.0,1.0,93.0,0.3794372081756592
0,3,15,1,6,1,0.985,100.0,0.0,1.0,97.0,0.344135046005249
0,3,16,1,6,1,0.985,96.0,0.0,1.0,101.0,0.33357834815979004
0,3,17,1,6,1,0.98,99.0,2.0,0.0,97.0,0.3513946533203125
0,3,18,1,6,1,0.975,98.0,1.0,2.0,97.0,0.3544433116912842
0,3,19,1,6,1,0.98,81.0,2.0,0.0,115.0,0.3496887683868408
0,3,20,1,6,1,0.98,98.0,0.0,2.0,98.0,0.34354591369628906
0,3,21,1,6,1,0.985,80.0,1.0,0.0,117.0,0.3406989574432373
0,3,22,1,6,1,0.985,101.0,0.0,1.0,96.0,0.3557097911834717
0,3,23,1,6,1,0.975,100.0,3.0,0.0,95.0,0.3587820529937744
0,3,24,1,6,1,0.98,95.0,2.0,0.0,101.0,0.3519740104675293
0,4,0,1,7,1,0.985,124.0,0.0,1.0,73.0,0.34981346130371094
0,4,1,1,7,1,0.98,118.0,1.0,1.0,78.0,0.35153937339782715
0,4,2,1,7,1,0.98,113.0,1.0,1.0,83.0,0.349820613861084
0,4,3,1,7,1,0.98,133.0,0.0,2.0,63.0,0.35703444480895996
0,4,4,1,7,1,0.985,135.0,0.0,1.0,62.0,0.3626267910003662
0,4,5,1,7,1,0.99,139.0,0.0,0.0,59.0,0.3708174228668213
0,4,6,1,7,1,0.985,138.0,1.0,0.0,59.0,0.35579776763916016
0,4,7,1,7,1,0.98,123.0,0.0,2.0,73.0,0.3702273368835449
0,4,8,1,7,1,0.985,137.0,1.0,0.0,60.0,0.3593595027923584
0,4,9,1,7,1,0.975,112.0,1.0,2.0,83.0,0.35842275619506836
0,4,10,1,7,1,0.98,135.0,0.0,2.0,61.0,0.35175132751464844
0,4,11,1,7,1,0.98,125.0,1.0,1.0,71.0,0.3574955463409424
0,4,12,1,7,1,0.98,136.0,0.0,2.0,60.0,0.36820554733276367
0,4,13,1,7,1,0.98,126.0,1.0,1.0,70.0,0.3955416679382324
0,4,14,1,7,1,0.975,139.0,1.0,2.0,56.0,0.38846611976623535
0,4,15,1,7,1,0.98,122.0,2.0,0.0,74.0,0.3881993293762207
0,4,16,1,7,1,0.985,132.0,0.0,1.0,65.0,0.3620760440826416
0,4,17,1,7,1,0.98,128.0,1.0,1.0,68.0,0.35195469856262207
0,4,18,1,7,1,0.985,136.0,0.0,1.0,61.0,0.37141847610473633
0,4,19,1,7,1,0.98,117.0,2.0,0.0,79.0,0.3587000370025635
0,4,20,1,7,1,0.98,135.0,0.0,2.0,61.0,0.37045931816101074
0,4,21,1,7,1,0.98,133.0,0.0,2.0,63.0,0.35159921646118164
0,4,22,1,7,1,0.98,135.0,1.0,1.0,61.0,0.3491847515106201
0,4,23,1,7,1,0.985,130.0,1.0,0.0,67.0,0.3496551513671875
0,4,24,1,7,1,0.98,120.0,2.0,0.0,76.0,0.372600793838501
0,5,0,1,8,1,0.975,65.0,3.0,0.0,130.0,0.37009191513061523
0,5,1,1,8,1,0.985,65.0,1.0,0.0,132.0,0.3560905456542969
0,5,2,1,8,1,0.98,66.0,0.0,2.0,130.0,0.3507668972015381
0,5,3,1,8,1,0.985,77.0,1.0,0.0,120.0,0.3592493534088135
0,5,4,1,8,1,0.985,68.0,0.0,1.0,129.0,0.3549654483795166
0,5,5,1,8,1,0.975,64.0,0.0,3.0,131.0,0.35780811309814453
0,5,6,1,8,1,0.98,58.0,2.0,0.0,138.0,0.37008023262023926
0,5,7,1,8,1,0.975,64.0,1.0,2.0,131.0,0.3677666187286377
0,5,8,1,8,1,0.985,67.0,1.0,0.0,130.0,0.35350489616394043
0,5,9,1,8,1,0.98,69.0,1.0,1.0,127.0,0.3516669273376465
