type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,3,23,1,6,1,0.98,53.0,2.0,0.0,143.0
0,3,24,1,6,1,0.985,53.0,1.0,0.0,144.0
0,4,0,1,7,1,0.985,162.0,0.0,1.0,35.0
0,4,1,1,7,1,0.985,158.0,0.0,1.0,39.0
0,4,2,1,7,1,0.98,163.0,1.0,1.0,33.0
0,4,3,1,7,1,0.985,166.0,1.0,0.0,31.0
0,4,4,1,7,1,0.985,164.0,0.0,1.0,33.0
0,4,5,1,7,1,0.98,162.0,0.0,2.0,34.0
0,4,6,1,7,1,0.985,166.0,0.0,1.0,31.0
0,4,7,1,7,1,0.98,154.0,0.0,2.0,42.0
0,4,8,1,7,1,0.985,163.0,0.0,1.0,34.0
0,4,9,1,7,1,0.98,165.0,0.0,2.0,31.0
0,4,10,1,7,1,0.985,160.0,1.0,0.0,37.0
0,4,11,1,7,1,0.97,163.0,1.0,3.0,31.0
0,4,12,1,7,1,0.985,167.0,0.0,1.0,30.0
0,4,13,1,7,1,0.985,155.0,0.0,1.0,42.0
0,4,14,1,7,1,0.985,165.0,0.0,1.0,32.0
0,4,15,1,7,1,0.985,162.0,1.0,0.0,35.0
0,4,16,1,7,1,0.985,170.0,1.0,0.0,27.0
0,4,17,1,7,1,0.985,158.0,1.0,0.0,39.0
0,4,18,1,7,1,0.985,163.0,0.0,1.0,34.0
0,4,19,1,7,1,0.985,173.0,0.0,1.0,24.0
0,4,20,1,7,1,0.985,170.0,0.0,1.0,27.0
0,4,21,1,7,1,0.985,168.0,0.0,1.0,29.0
0,4,22,1,7,1,0.98,165.0,1.0,1.0,31.0
0,4,23,1,7,1,0.985,167.0,0.0,1.0,30.0
0,4,24,1,7,1,0.985,168.0,0.0,1.0,29.0
0,5,0,1,8,1,0.985,173.0,0.0,1.0,24.0
0,5,1,1,8,1,0.975,167.0,3.0,0.0,28.0
0,5,2,1,8,1,0.98,168.0,1.0,1.0,28.0
0,5,3,1,8,1,0.985,168.0,0.0,1.0,29.0
0,5,4,1,8,1,0.98,173.0,1.0,1.0,23.0
0,5,5,1,8,1,0.985,163.0,0.0,1.0,34.0
0,5,6,1,8,1,0.985,175.0,0.0,1.0,22.0
0,5,7,1,8,1,0.965,156.0,5.0,0.0,37.0
0,5,8,1,8,1,0.985,166.0,0.0,1.0,31.0
0,5,9,1,8,1,0.985,164.0,0.0,1.0,33.0
0,5,10,1,8,1,0.98,161.0,0.0,2.0,35.0
0,5,11,1,8,1,0.985,164.0,0.0,1.0,33.0
0,5,12,1,8,1,0.985,168.0,0.0,1.0,29.0
0,5,13,1,8,1,0.98,173.0,2.0,0.0,23.0
0,5,14,1,8,1,0.985,162.0,1.0,0.0,35.0
0,5,15,1,8,1,0.98,166.0,2.0,0.0,30.0
0,5,16,1,8,1,0.985,162.0,0.0,1.0,35.0
0,5,17,1,8,1,0.975,163.0,1.0,2.0,32.0
0,5,18,1,8,1,0.985,176.0,0.0,1.0,21.0
0,5,19,1,8,1,0.985,176.0,0.0,1.0,21.0
0,5,20,1,8,1,0.985,164.0,0.0,1.0,33.0
0,5,21,1,8,1,0.985,161.0,0.0,1.0,36.0
0,5,22,1,8,1,0.985,176.0,0.0,1.0,21.0
0,5,23,1,8,1,0.985,167.0,0.0,1.0,30.0
0,5,24,1,8,1,0.98,167.0,1.0,1.0,29.0
0,6,0,1,9,1,0.975,134.0,1.0,2.0,61.0
0,6,1,1,9,1,0.975,132.0,2.0,1.0,63.0
0,6,2,1,9,1,0.98,130.0,1.0,1.0,66.0
0,6,3,1,9,1,0.985,131.0,1.0,0.0,66.0
0,6,4,1,9,1,0.98,132.0,1.0,1.0,64.0
0,6,5,1,9,1,0.975,119.0,1.0,2.0,76.0
0,6,6,1,9,1,0.97,119.0,1.0,3.0,75.0
0,6,7,1,9,1,0.985,120.0,1.0,0.0,77.0
0,6,8,1,9,1,0.98,139.0,1.0,1.0,57.0
0,6,9,1,9,1,0.975,139.0,1.0,2.0,56.0
0,6,10,1,9,1,0.98,137.0,0.0,2.0,59.0
0,6,11,1,9,1,0.985,133.0,1.0,0.0,64.0
0,6,12,1,9,1,0.98,137.0,1.0,1.0,59.0
