type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,3,2,1,6,1,0.94,125.0,5.0,6.0,63.0,4.431966066360474
0,3,3,1,6,1,0.925,120.0,5.0,9.0,65.0,4.864989995956421
0,3,4,1,6,1,0.95,146.0,2.0,7.0,44.0,4.795035123825073
0,3,5,1,6,1,0.95,137.0,2.0,7.0,53.0,5.126999139785767
0,3,6,1,6,1,0.95,124.0,2.0,7.0,66.0,4.869998931884766
0,3,7,1,6,1,0.945,117.0,2.0,8.0,72.0,5.388999938964844
0,3,8,1,6,1,0.955,127.0,4.0,4.0,64.0,4.403030872344971
0,3,9,1,6,1,0.925,127.0,2.0,12.0,58.0,4.268003702163696
0,3,10,1,6,1,0.925,126.0,3.0,11.0,59.0,4.08699893951416
0,3,11,1,6,1,0.945,127.0,0.0,10.0,62.0,5.0789971351623535
0,3,12,1,6,1,0.93,110.0,3.0,10.0,76.0,4.841031789779663
0,3,13,1,6,1,0.94,112.0,5.0,6.0,76.0,5.196033477783203
0,3,14,1,6,1,0.94,129.0,1.0,10.0,59.0,5.0550432205200195
0,3,15,1,6,1,0.94,126.0,4.0,7.0,62.0,5.781029939651489
0,3,16,1,6,1,0.925,121.0,2.0,12.0,64.0,4.47903299331665
0,3,17,1,6,1,0.93,126.0,5.0,8.0,60.0,4.969969987869263
0,3,18,1,6,1,0.945,130.0,3.0,7.0,59.0,4.942101001739502
0,3,19,1,6,1,0.945,139.0,5.0,5.0,50.0,4.429994583129883
0,3,20,1,6,1,0.945,126.0,1.0,9.0,63.0,4.923002004623413
0,3,21,1,6,1,0.945,132.0,1.0,9.0,57.0,4.623998641967773
0,3,22,1,6,1,0.945,120.0,4.0,6.0,69.0,5.282002687454224
0,3,23,1,6,1,0.925,117.0,5.0,9.0,68.0,4.64402961730957
0,3,24,1,6,1,0.93,115.0,3.0,10.0,71.0,4.822101831436157
0,4,0,1,7,1,0.97,173.0,0.0,5.0,21.0,2.690002918243408
0,4,1,1,7,1,0.97,170.0,1.0,4.0,24.0,3.259998083114624
0,4,2,1,7,1,0.965,170.0,0.0,6.0,23.0,2.2487430572509766
0,4,3,1,7,1,0.96,170.0,2.0,5.0,22.0,3.323998212814331
0,4,4,1,7,1,0.96,167.0,0.0,7.0,25.0,2.6750032901763916
0,4,5,1,7,1,0.965,172.0,3.0,3.0,21.0,2.9000332355499268
0,4,6,1,7,1,0.96,173.0,1.0,6.0,19.0,2.6499671936035156
0,4,7,1,7,1,0.965,174.0,2.0,4.0,19.0,3.1069929599761963
0,4,8,1,7,1,0.98,177.0,0.0,3.0,19.0,2.897029399871826
0,4,9,1,7,1,0.975,175.0,2.0,2.0,20.0,2.1849966049194336
0,4,10,1,7,1,0.975,178.0,0.0,4.0,17.0,2.7212889194488525
0,4,11,1,7,1,0.975,177.0,0.0,4.0,18.0,2.339158535003662
0,4,12,1,7,1,0.975,170.0,2.0,2.0,25.0,2.4275569915771484
0,4,13,1,7,1,0.95,175.0,1.0,8.0,15.0,2.974468469619751
0,4,14,1,7,1,0.955,164.0,0.0,8.0,27.0,2.5896341800689697
0,4,15,1,7,1,0.965,164.0,0.0,6.0,29.0,2.453009843826294
0,4,16,1,7,1,0.96,178.0,0.0,7.0,14.0,2.5196950435638428
0,4,17,1,7,1,0.98,180.0,0.0,3.0,16.0,2.136946439743042
0,4,18,1,7,1,0.98,175.0,0.0,3.0,21.0,2.3687028884887695
0,4,19,1,7,1,0.965,174.0,1.0,5.0,19.0,2.7613117694854736
0,4,20,1,7,1,0.97,169.0,0.0,5.0,25.0,2.2690141201019287
0,4,21,1,7,1,0.965,176.0,2.0,4.0,17.0,2.266251802444458
0,4,22,1,7,1,0.965,178.0,0.0,6.0,15.0,2.4726667404174805
0,4,23,1,7,1,0.95,175.0,1.0,8.0,15.0,2.8805429935455322
0,4,24,1,7,1,0.955,172.0,2.0,6.0,19.0,2.7136588096618652
0,5,0,1,8,1,0.915,83.0,14.0,2.0,100.0,5.677736759185791
0,5,1,1,8,1,0.905,105.0,5.0,13.0,76.0,4.333249568939209
0,5,2,1,8,1,0.91,89.0,9.0,8.0,93.0,5.3250532150268555
0,5,3,1,8,1,0.92,94.0,5.0,10.0,90.0,5.88760232925415
0,5,4,1,8,1,0.92,83.0,11.0,4.0,101.0,4.970199108123779
0,5,5,1,8,1,0.91,89.0,7.0,10.0,93.0,5.878763675689697
0,5,6,1,8,1,0.92,74.0,12.0,3.0,110.0,6.02604341506958
0,5,7,1,8,1,0.925,89.0,11.0,3.0,96.0,5.048166751861572
0,5,8,1,8,1,0.93,99.0,7.0,6.0,87.0,4.545940399169922
0,5,9,1,8,1,0.915,81.0,11.0,5.0,102.0,5.17076563835144
0,5,10,1,8,1,0.94,82.0,6.0,5.0,106.0,4.783367156982422
0,5,11,1,8,1,0.915,89.0,8.0,8.0,94.0,5.454146146774292
0,5,12,1,8,1,0.93,104.0,4.0,9.0,82.0,6.58277153968811
0,5,13,1,8,1,0.925,77.0,12.0,2.0,108.0,5.239590883255005
0,5,14,1,8,1,0.91,84.0,11.0,6.0,98.0,5.39995551109314
0,5,15,1,8,1,0.935,91.0,10.0,2.0,96.0,4.078791856765747
0,5,16,1,8,1,0.915,95.0,3.0,13.0,88.0,4.902024984359741
0,5,17,1,8,1,0.915,92.0,9.0,7.0,91.0,5.880469799041748
0,5,18,1,8,1,0.905,89.0,10.0,8.0,92.0,4.530858516693115
0,5,19,1,8,1,0.92,102.0,4.0,11.0,82.0,5.101000785827637
0,5,20,1,8,1,0.93,76.0,9.0,4.0,110.0,5.077781915664673
0,5,21,1,8,1,0.925,92.0,10.0,4.0,93.0,4.709782600402832
0,5,22,1,8,1,0.905,79.0,12.0,6.0,102.0,3.9217395782470703
0,5,23,1,8,1,0.905,79.0,16.0,2.0,102.0,6.053591012954712
0,5,24,1,8,1,0.92,104.0,4.0,11.0,80.0,5.302563905715942
0,6,0,1,9,1,0.985,193.0,0.0,2.0,4.0,2.6039817333221436
0,6,1,1,9,1,0.97,192.0,1.0,4.0,2.0,2.2492167949676514
0,6,2,1,9,1,0.99,198.0,0.0,1.0,0.0,0.44423770904541016
0,6,3,1,9,1,0.975,191.0,0.0,4.0,4.0,2.90376353263855
0,6,4,1,9,1,0.975,191.0,0.0,4.0,4.0,2.163893699645996
0,6,5,1,9,1,0.97,192.0,0.0,5.0,2.0,2.919999122619629
0,6,6,1,9,1,0.98,188.0,1.0,2.0,8.0,2.6367809772491455
0,6,7,1,9,1,0.975,191.0,0.0,4.0,4.0,2.2945010662078857
0,6,8,1,9,1,0.985,196.0,1.0,1.0,1.0,2.3349368572235107
0,6,9,1,9,1,0.97,191.0,1.0,4.0,3.0,2.057002544403076
0,6,10,1,9,1,0.98,195.0,1.0,2.0,1.0,2.5372562408447266
0,6,11,1,9,1,0.98,193.0,1.0,2.0,3.0,3.4033563137054443
0,6,12,1,9,1,0.975,193.0,1.0,3.0,2.0,2.80690860748291
0,6,13,1,9,1,0.97,193.0,2.0,3.0,1.0,4.3630006313323975
0,6,14,1,9,1,0.97,191.0,0.0,5.0,3.0,2.526071071624756
0,6,15,1,9,1,0.97,191.0,1.0,4.0,3.0,3.1268062591552734
0,6,16,1,9,1,0.97,194.0,0.0,5.0,0.0,2.2158775329589844
0,6,17,1,9,1,0.99,198.0,0.0,1.0,0.0,0.5421876907348633
0,6,18,1,9,1,0.985,193.0,0.0,2.0,4.0,1.9782230854034424
0,6,19,1,9,1,0.975,192.0,1.0,3.0,3.0,2.4098172187805176
0,6,20,1,9,1,0.98,195.0,1.0,2.0,1.0,2.0932796001434326
0,6,21,1,9,1,0.975,195.0,0.0,4.0,0.0,2.842710018157959
0,6,22,1,9,1,0.96,188.0,3.0,4.0,4.0,3.8067116737365723
0,6,23,1,9,1,0.985,195.0,0.0,2.0,2.0,2.2767202854156494
0,6,24,1,9,1,0.98,193.0,1.0,2.0,3.0,2.2584474086761475
0,7,0,1,10,1,0.865,89.0,12.0,14.0,84.0,6.900350332260132
0,7,1,1,10,1,0.885,93.0,14.0,8.0,84.0,7.93004846572876
0,7,2,1,10,1,0.905,74.0,13.0,5.0,107.0,7.678997278213501
0,7,3,1,10,1,0.86,96.0,9.0,18.0,76.0,7.538789749145508
0,7,4,1,10,1,0.88,88.0,9.0,14.0,88.0,8.256026983261108
0,7,5,1,10,1,0.85,85.0,11.0,18.0,85.0,7.746792554855347
0,7,6,1,10,1,0.865,80.0,17.0,9.0,93.0,6.869368076324463
0,7,7,1,10,1,0.885,64.0,18.0,4.0,113.0,7.51903772354126
0,7,8,1,10,1,0.83,76.0,23.0,10.0,90.0,7.603997468948364
0,7,9,1,10,1,0.905,72.0,15.0,3.0,109.0,6.89098334312439
0,7,10,1,10,1,0.87,68.0,19.0,6.0,106.0,6.630488157272339
0,7,11,1,10,1,0.895,85.0,9.0,11.0,94.0,6.261243104934692
0,7,12,1,10,1,0.91,91.0,8.0,9.0,91.0,7.9849693775177
0,7,13,1,10,1,0.875,82.0,11.0,13.0,93.0,7.771782636642456
0,7,14,1,10,1,0.885,90.0,8.0,14.0,87.0,7.602005958557129
0,7,15,1,10,1,0.855,77.0,18.0,10.0,94.0,8.264806509017944
0,7,16,1,10,1,0.885,88.0,7.0,15.0,89.0,6.057429313659668
0,7,17,1,10,1,0.905,75.0,13.0,5.0,106.0,7.5090320110321045
0,7,18,1,10,1,0.865,97.0,6.0,20.0,76.0,7.552030801773071
0,7,19,1,10,1,0.875,73.0,17.0,7.0,102.0,7.133969306945801
0,7,20,1,10,1,0.875,81.0,15.0,9.0,94.0,7.995997905731201
0,7,21,1,10,1,0.84,89.0,8.0,23.0,79.0,7.4539995193481445
0,7,22,1,10,1,0.865,81.0,17.0,9.0,92.0,7.672033071517944
0,7,23,1,10,1,0.855,81.0,19.0,9.0,90.0,6.862619876861572
0,7,24,1,10,1,0.875,77.0,17.0,7.0,98.0,7.363460540771484
0,8,0,1,11,1,0.925,25.0,11.0,3.0,160.0,3.131639242172241
0,8,1,1,11,1,0.95,24.0,7.0,2.0,166.0,2.8631606101989746
0,8,2,1,11,1,0.96,24.0,7.0,0.0,168.0,3.6737473011016846
0,8,3,1,11,1,0.95,25.0,9.0,0.0,165.0,2.603527307510376
0,8,4,1,11,1,0.95,27.0,8.0,1.0,163.0,3.150038003921509
