type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,3,1,1,6,1,0.985,60.0,0.0,2.0,137.0,0.1349337100982666
0,3,2,1,6,1,0.99,54.0,1.0,0.0,144.0,0.14343547821044922
0,3,3,1,6,1,0.99,50.0,1.0,0.0,148.0,0.1414954662322998
0,3,4,1,6,1,0.99,51.0,1.0,0.0,147.0,0.14059042930603027
0,3,5,1,6,1,0.99,56.0,1.0,0.0,142.0,0.1453990936279297
0,3,6,1,6,1,0.99,46.0,1.0,0.0,152.0,0.1426088809967041
0,3,7,1,6,1,0.99,59.0,1.0,0.0,139.0,0.1494433879852295
0,3,8,1,6,1,0.99,51.0,1.0,0.0,147.0,0.13853979110717773
0,3,9,1,6,1,0.985,51.0,1.0,1.0,146.0,0.13918209075927734
0,3,10,1,6,1,0.99,55.0,0.0,1.0,143.0,0.13915801048278809
0,3,11,1,6,1,0.99,51.0,1.0,0.0,147.0,0.14357256889343262
0,3,12,1,6,1,0.985,51.0,1.0,1.0,146.0,0.13708734512329102
0,3,13,1,6,1,0.99,65.0,1.0,0.0,133.0,0.14303207397460938
0,3,14,1,6,1,0.985,54.0,2.0,0.0,143.0,0.1413111686706543
0,3,15,1,6,1,0.99,56.0,0.0,1.0,142.0,0.14499711990356445
0,3,16,1,6,1,0.99,51.0,1.0,0.0,147.0,0.14271926879882812
0,3,17,1,6,1,0.99,59.0,1.0,0.0,139.0,0.13989925384521484
0,3,18,1,6,1,0.99,41.0,1.0,0.0,157.0,0.13845586776733398
0,3,19,1,6,1,0.99,54.0,1.0,0.0,144.0,0.14626622200012207
0,3,20,1,6,1,0.99,57.0,1.0,0.0,141.0,0.13300037384033203
0,3,21,1,6,1,0.99,50.0,1.0,0.0,148.0,0.14433789253234863
0,3,22,1,6,1,0.985,50.0,1.0,1.0,147.0,0.142747163772583
0,3,23,1,6,1,0.99,45.0,1.0,0.0,153.0,0.1468665599822998
0,3,24,1,6,1,0.985,49.0,2.0,0.0,148.0,0.1475236415863037
0,4,0,1,7,1,0.985,145.0,0.0,2.0,52.0,0.1405794620513916
0,4,1,1,7,1,0.985,148.0,0.0,2.0,49.0,0.1409904956817627
0,4,2,1,7,1,0.985,147.0,2.0,0.0,50.0,0.13328313827514648
0,4,3,1,7,1,0.99,158.0,0.0,1.0,40.0,0.13887596130371094
0,4,4,1,7,1,0.99,148.0,0.0,1.0,50.0,0.15004920959472656
0,4,5,1,7,1,0.99,151.0,0.0,1.0,47.0,0.14314532279968262
0,4,6,1,7,1,0.99,153.0,0.0,1.0,45.0,0.1405012607574463
0,4,7,1,7,1,0.99,156.0,0.0,1.0,42.0,0.14835572242736816
0,4,8,1,7,1,0.99,146.0,0.0,1.0,52.0,0.16403460502624512
0,4,9,1,7,1,0.99,153.0,0.0,1.0,45.0,0.13700461387634277
0,4,10,1,7,1,0.985,160.0,0.0,2.0,37.0,0.13931965827941895
0,4,11,1,7,1,0.985,141.0,1.0,1.0,56.0,0.15267634391784668
0,4,12,1,7,1,0.99,140.0,0.0,1.0,58.0,0.156358003616333
0,4,13,1,7,1,0.99,155.0,0.0,1.0,43.0,0.1622004508972168
0,4,14,1,7,1,0.99,154.0,0.0,1.0,44.0,0.1381971836090088
0,4,15,1,7,1,0.99,146.0,0.0,1.0,52.0,0.13719940185546875
0,4,16,1,7,1,0.985,154.0,1.0,1.0,43.0,0.13624024391174316
0,4,17,1,7,1,0.985,142.0,1.0,1.0,55.0,0.14114713668823242
0,4,18,1,7,1,0.985,148.0,1.0,1.0,49.0,0.14107966423034668
0,4,19,1,7,1,0.99,151.0,0.0,1.0,47.0,0.16063642501831055
0,4,20,1,7,1,0.985,159.0,1.0,1.0,38.0,0.14056777954101562
0,4,21,1,7,1,0.985,149.0,1.0,1.0,48.0,0.1408519744873047
0,4,22,1,7,1,0.99,151.0,0.0,1.0,47.0,0.13650250434875488
0,4,23,1,7,1,0.99,152.0,0.0,1.0,46.0,0.15266013145446777
0,4,24,1,7,1,0.99,153.0,0.0,1.0,45.0,0.14438199996948242
0,5,0,1,8,1,0.99,60.0,1.0,0.0,138.0,0.14152216911315918
0,5,1,1,8,1,0.985,54.0,0.0,2.0,143.0,0.15187931060791016
0,5,2,1,8,1,0.99,61.0,1.0,0.0,137.0,0.15788555145263672
0,5,3,1,8,1,0.985,58.0,2.0,0.0,139.0,0.14487290382385254
0,5,4,1,8,1,0.99,59.0,1.0,0.0,139.0,0.15227913856506348
0,5,5,1,8,1,0.985,52.0,0.0,2.0,145.0,0.14683890342712402
0,5,6,1,8,1,0.985,64.0,0.0,2.0,133.0,0.14462518692016602
0,5,7,1,8,1,0.99,56.0,0.0,1.0,142.0,0.16309309005737305
0,5,8,1,8,1,0.99,60.0,1.0,0.0,138.0,0.13715624809265137
0,5,9,1,8,1,0.99,67.0,1.0,0.0,131.0,0.1516730785369873
0,5,10,1,8,1,0.99,51.0,0.0,1.0,147.0,0.1488032341003418
0,5,11,1,8,1,0.99,61.0,0.0,1.0,137.0,0.15077710151672363
