type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,3,23,1,6,1,0.98,66.0,2.0,0.0,130.0
0,3,24,1,6,1,0.98,61.0,1.0,1.0,135.0
0,4,0,1,7,1,0.985,185.0,0.0,1.0,12.0
0,4,1,1,7,1,0.985,189.0,1.0,0.0,8.0
0,4,2,1,7,1,0.985,187.0,0.0,1.0,10.0
0,4,3,1,7,1,0.985,185.0,0.0,1.0,12.0
0,4,4,1,7,1,0.975,181.0,2.0,1.0,14.0
0,4,5,1,7,1,0.98,179.0,1.0,1.0,17.0
0,4,6,1,7,1,0.985,187.0,0.0,1.0,10.0
0,4,7,1,7,1,0.985,184.0,0.0,1.0,13.0
0,4,8,1,7,1,0.985,184.0,0.0,1.0,13.0
0,4,9,1,7,1,0.985,185.0,0.0,1.0,12.0
0,4,10,1,7,1,0.985,184.0,0.0,1.0,13.0
0,4,11,1,7,1,0.98,185.0,0.0,2.0,11.0
0,4,12,1,7,1,0.985,189.0,0.0,1.0,8.0
0,4,13,1,7,1,0.985,189.0,0.0,1.0,8.0
0,4,14,1,7,1,0.985,190.0,0.0,1.0,7.0
0,4,15,1,7,1,0.985,184.0,0.0,1.0,13.0
0,4,16,1,7,1,0.985,186.0,0.0,1.0,11.0
0,4,17,1,7,1,0.985,182.0,0.0,1.0,15.0
0,4,18,1,7,1,0.985,189.0,0.0,1.0,8.0
0,4,19,1,7,1,0.98,177.0,0.0,2.0,19.0
0,4,20,1,7,1,0.985,184.0,0.0,1.0,13.0
0,4,21,1,7,1,0.985,185.0,0.0,1.0,12.0
0,4,22,1,7,1,0.985,186.0,0.0,1.0,11.0
0,4,23,1,7,1,0.985,182.0,0.0,1.0,15.0
0,4,24,1,7,1,0.985,183.0,0.0,1.0,14.0
0,5,0,1,8,1,0.99,39.0,0.0,0.0,159.0
0,5,1,1,8,1,0.985,34.0,1.0,0.0,163.0
0,5,2,1,8,1,0.985,29.0,0.0,1.0,168.0
0,5,3,1,8,1,0.985,42.0,1.0,0.0,155.0
0,5,4,1,8,1,0.98,38.0,2.0,0.0,158.0
0,5,5,1,8,1,0.985,32.0,1.0,0.0,165.0
0,5,6,1,8,1,0.985,30.0,1.0,0.0,167.0
0,5,7,1,8,1,0.99,42.0,0.0,0.0,156.0
0,5,8,1,8,1,0.98,30.0,1.0,1.0,166.0
0,5,9,1,8,1,0.98,24.0,2.0,0.0,172.0
0,5,10,1,8,1,0.985,33.0,1.0,0.0,164.0
0,5,11,1,8,1,0.98,32.0,1.0,1.0,164.0
0,5,12,1,8,1,0.98,37.0,1.0,1.0,159.0
0,5,13,1,8,1,0.985,36.0,1.0,0.0,161.0
0,5,14,1,8,1,0.975,25.0,1.0,2.0,170.0
0,5,15,1,8,1,0.99,43.0,0.0,0.0,155.0
0,5,16,1,8,1,0.98,32.0,1.0,1.0,164.0
0,5,17,1,8,1,0.975,37.0,1.0,2.0,158.0
0,5,18,1,8,1,0.98,35.0,1.0,1.0,161.0
0,5,19,1,8,1,0.985,35.0,1.0,0.0,162.0
0,5,20,1,8,1,0.985,35.0,1.0,0.0,162.0
0,5,21,1,8,1,0.985,43.0,1.0,0.0,154.0
0,5,22,1,8,1,0.99,40.0,0.0,0.0,158.0
0,5,23,1,8,1,0.975,46.0,1.0,2.0,149.0
0,5,24,1,8,1,0.975,32.0,0.0,3.0,163.0
0,6,0,1,9,1,0.98,97.0,2.0,0.0,99.0
0,6,1,1,9,1,0.975,82.0,3.0,0.0,113.0
0,6,2,1,9,1,0.985,92.0,0.0,1.0,105.0
0,6,3,1,9,1,0.98,97.0,0.0,2.0,99.0
0,6,4,1,9,1,0.98,75.0,2.0,0.0,121.0
0,6,5,1,9,1,0.98,82.0,1.0,1.0,114.0
0,6,6,1,9,1,0.985,75.0,1.0,0.0,122.0
0,6,7,1,9,1,0.975,81.0,2.0,1.0,114.0
0,6,8,1,9,1,0.98,78.0,0.0,2.0,118.0
0,6,9,1,9,1,0.98,88.0,0.0,2.0,108.0
0,6,10,1,9,1,0.97,94.0,0.0,4.0,100.0
0,6,11,1,9,1,0.975,67.0,1.0,2.0,128.0
0,6,12,1,9,1,0.98,79.0,0.0,2.0,117.0
0,6,13,1,9,1,0.985,81.0,0.0,1.0,116.0
0,6,14,1,9,1,0.98,79.0,1.0,1.0,117.0
0,6,15,1,9,1,0.985,79.0,1.0,0.0,118.0
0,6,16,1,9,1,0.98,79.0,0.0,2.0,117.0
0,6,17,1,9,1,0.98,74.0,2.0,0.0,122.0
0,6,18,1,9,1,0.975,74.0,0.0,3.0,121.0
0,6,19,1,9,1,0.985,89.0,1.0,0.0,108.0
0,6,20,1,9,1,0.97,91.0,1.0,3.0,103.0
0,6,21,1,9,1,0.975,85.0,2.0,1.0,110.0
0,6,22,1,9,1,0.98,82.0,1.0,1.0,114.0
0,6,23,1,9,1,0.985,80.0,1.0,0.0,117.0
